id A,id B,Name Decomposition A,Name Decomposition B,Suffix Phone A,Suffix Phone B,Suffix Website A,Suffix Website B,Matching Score
420,420,"{'la', 'chope', 'daguerre'}","{'la', 'chope', 'daguerre'}",43227659,43227659,nan,nan,0.8461538461538461
839,123882,"{'bercy', 'café'}","{'bercy', 'café'}",43434429,43434429,nan,nan,0.6153846153846154
1093,152116,"{'35', 'au'}","{'35', 'au'}",42602324,42602324,nan,nan,0.6153846153846154
1520,1520,"{'bagelstein', 'pyramides'}","{'bagelstein', 'pyramides'}",42610632,42610632,nan,nan,0.9166666666666666
1567,125993,"{'bouillon', 'zoe'}","{'bouillon', 'zoe'}",42020283,42020283,nan,nan,0.6153846153846154
1619,139278,{'cucuzza'},{'cucuzza'},42287175,42287175,nan,nan,0.6153846153846154
1762,1762,"{'parent', 'les', 'messina', 'amis', 'de'}","{'parent', 'les', 'messina', 'amis', 'de'}",42611373,42611373,nan,nan,0.9166666666666666
1830,1830,"{'o', 'charolais'}","{'o', 'charolais'}",34640217,34640217,nan,nan,0.8461538461538461
1860,1860,"{'planet', 'sushi', 'doumer'}","{'planet', 'sushi', 'doumer'}",40721515,40721515,nan,nan,0.8461538461538461
2840,137753,"{'du', 'bar', 'au', 'bout'}","{'du', 'bar', 'au', 'bout'}",81976392,81976392,nan,nan,0.6153846153846154
3129,284467,{'sogepar'},{'sogepar'},nan,nan,nan,nan,0.6
3535,125480,"{'assiettes', 'les', 'petites'}","{'assiettes', 'les', 'petites'}",40440087,40440087,nan,nan,0.6153846153846154
3764,118498,"{'aux', ""l'assiette"", 'fromages'}","{'aux', ""l'assiette"", 'fromages'}",43369159,43369159,nan,nan,0.6153846153846154
4995,113536,"{'fresh', 'dunkerque', 'burritos'}","{'fresh', 'burritos'}",53836498,53836498,nan,nan,0.5384615384615384
5614,124765,"{""l'apibo""}","{""l'apibo""}",55349450,55349450,nan,nan,0.8461538461538461
5861,113335,"{'la', 'plage'}","{'la', 'plage'}",75519009,75519009,nan,nan,0.6153846153846154
5984,7823,"{'patacrepe', 'le'}","{'lille', 'patacrepe', 'le'}",20042136,20042136,nan,le-patacrepe.com/,0.5263157894736842
6076,155044,"{""hamler's"", 'burgery'}","{""hamler's"", 'burgery'}",43294491,43294491,nan,nan,0.6153846153846154
7026,7026,"{'siege', 'flams'}","{'siege', 'flams'}",88529058,88529058,nan,nan,0.9166666666666666
7072,144447,"{'des', 'campagnes', 'bistrot'}","{'des', 'le', 'campagnes', 'bistrot'}",40479127,40479127,nan,nan,0.6041666666666666
7157,286601,"{'cfh', 'hotel'}","{'française', 'cfh', ""d'hôtellerie"", 'compagnie'}",60715630,60715630,nan,nan,0.7291666666666666
7306,143686,{'gosselin'},{'gosselin'},45080359,45080359,nan,nan,0.6153846153846154
7324,7324,"{'bagelstein', 'poitiers'}","{'bagelstein', 'poitiers'}",nan,nan,nan,nan,0.5
7327,115868,"{""l'estrapade""}","{""l'estrapade""}",43257258,43257258,nan,nan,0.6153846153846154
7768,128536,"{'populaires', 'peres', 'les'}","{'populaires', 'pères', 'les'}",43484922,43484922,nan,nan,0.5384615384615384
7812,116201,{'colchide'},"{'colchide', 'le'}",80940968,80940968,nan,nan,0.5
8353,134485,{'mersea'},{'mersea'},73224613,73224613,nan,nan,0.6153846153846154
8628,8628,"{'liquide', '/', 'it', 'al', 'air'}","{'liquide', '/', 'it', 'al', 'air'}",40625555,40625555,airliquide.com,airliquide.com,1.0
8637,23108,{'dataiku'},{'dataiku'},nan,84174590,dataiku.com,dataiku.com,0.5789473684210527
8640,73330,{'arolla'},{'arolla'},nan,nan,arolla.fr,arolla.fr,0.8461538461538461
8643,8643,"{'phare', 'le'}","{'phare', 'le'}",51841190,51841190,lephare.com,lephare.com,1.0
8647,8647,"{'arcad', 'software'}","{'arcad', 'software'}",)3719074,)3719074,arcadsoftware.com,arcadsoftware.com,1.0
8652,8652,"{'conseil', 'mint'}","{'conseil', 'mint'}",nan,nan,mint-conseil.fr,mint-conseil.fr,0.8461538461538461
8664,160572,{'ubeeqo'},{'ubeeqo'},78164570,12820915,ubeeqo.com,ubeeqo.com,0.5789473684210527
8689,76986,{'upslide'},{'upslide'},nan,nan,upslide.net,upslide.net,0.9166666666666666
8694,8694,"{'no', 'digital', 'limit'}","{'no', 'digital', 'limit'}",86950391,86950391,digitalnolimit.com,digitalnolimit.com,1.0
8698,8698,{'smarthys'},{'smarthys'},83628996,83628996,smarthys.com,smarthys.com,1.0
8702,68218,{'horsecom'},{'horsecom'},71965255,71965255,horsecom.io,horsecom.io,1.0
8746,8746,{'tableonline'},{'tableonline'},64880184,64880184,guestonline.io,guestonline.io,1.0
8747,8747,"{'ktm', 'advance'}","{'ktm', 'advance'}",40274767,40274767,ktm-advance.com,ktm-advance.com,1.0
8758,15784,"{'bmi', 'system'}","{'bmi', 'system'}",40918394,40918394,bmi-system.com,bmi-system.com,1.0
8764,8764,"{'kea', '&', 'partners'}","{'kea', '&', 'partners'}",40847400,40847400,kea-partners.com,kea-partners.com,1.0
8771,74678,"{'haggenmüller', 'co.', 'kg', 'multivac', '&', 'sepp', 'se'}","{'haggenmüller', 'co.', 'kg', 'multivac', '&', 'sepp', 'se'}",nan,nan,multivac.fr,multivac.fr,0.8461538461538461
8776,42846,"{'suite', 'legal'}","{'suite', 'legal'}",nan,nan,legal-suite.fr,legal-suite.fr,0.9166666666666666
8779,8779,{'thalys'},{'thalys'},25480600,25480600,thalys.com,thalys.com,1.0
8786,14300,{'brighten'},{'brighten'},44014640,44014640,brighten.fr,brighten.fr,1.0
8790,63360,"{'-', '2017', 'planeum', 'certifiée', 'gptw'}","{'-', '2017', 'planeum', 'certifiée', 'gptw'}",42478211,42478211,planeum.com,planeum.com,1.0
8806,8806,"{'information', 'ebusiness'}","{'information', 'ebusiness'}",41244320,41244320,ebusinessinformation.fr,ebusinessinformation.fr,1.0
8824,8824,{'uside'},{'uside'},nan,nan,uside.fr,uside.fr,0.8461538461538461
8830,8830,{'myndblue'},{'myndblue'},nan,nan,myndblue.io,myndblue.io,0.8461538461538461
8832,48166,{'d2si'},{'d2si'},43121080,43121080,d2-si.fr,d2-si.fr,1.0
8836,8836,{'sncf'},{'sncf'},53256000,53256000,sncf.com,sncf.com,1.0
8845,25386,{'carizy'},{'carizy'},86950414,86950414,carizy.com,carizy.com,1.0
8881,158979,{'elan'},{'elan'},nan,nan,elan-france.com,elan-france.com,0.9166666666666666
